,id_municipio,id_municipio_nome,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
0,1100346,Alvorada D'Oeste,2002,66869000,3643000,63226000,15054000,3940000,13954000,30277000
1,1101500,Seringueiras,2002,39708000,2199000,37509000,7964000,3537000,6140000,19868000
2,1502954,Eldorado do Carajás,2002,55842000,2219000,53623000,9823000,5439000,11420000,26941000
3,1505635,Piçarra,2002,52055000,1346000,50709000,30760000,4634000,5513000,9801000
4,1506401,Santa Cruz do Arari,2002,14456000,264000,14191000,7541000,698000,1473000,4480000
5,1703826,Cachoeirinha,2002,4494000,142000,4352000,628000,241000,893000,2590000
6,1709302,Guaraí,2002,79277000,7604000,71673000,5509000,8452000,35921000,21790000
7,1713205,Miracema do Tocantins,2002,227431000,9628000,217803000,7583000,150772000,34035000,25413000
8,1715754,Palmeirópolis,2002,23336000,1876000,21461000,3892000,2670000,7953000,6946000
9,1716109,Paraíso do Tocantins,2002,187686000,28461000,159225000,4951000,20762000,96460000,37053000
10,1718865,Santa Fé do Araguaia,2002,18431000,643000,17788000,7156000,975000,3371000,6286000
11,2100956,Arame,2002,45029000,845000,44184000,19507000,2042000,8557000,14078000
12,2105963,Lagoa Grande do Maranhão,2002,18511000,278000,18234000,8423000,1356000,2831000,5624000
13,2201919,Bom Princípio do Piauí,2002,7000000,170000,6830000,1451000,226000,1223000,3930000
14,2202455,Capitão Gervásio Oliveira,2002,4376000,85000,4291000,752000,122000,596000,2821000
15,2202851,Coronel José Dias,2002,4729000,115000,4614000,603000,99000,685000,3227000
16,2203453,Dom Inocêncio,2002,8675000,201000,8473000,1156000,148000,1009000,6161000
17,2204303,Fronteiras,2002,73169000,12630000,60538000,1669000,38796000,13177000,6896000
18,2209377,Santa Rosa do Piauí,2002,6186000,170000,6016000,654000,138000,1279000,3946000
19,2210102,São José do Peixe,2002,5603000,117000,5486000,1379000,130000,962000,3015000
20,2306108,Irauçuba,2002,31499000,1124000,30375000,7620000,1265000,6535000,14955000
21,2308708,Morada Nova,2002,157151000,11099000,146052000,26827000,33021000,35770000,50434000
22,2310704,Pentecoste,2002,56854000,2624000,54230000,11586000,4034000,15258000,23352000
23,2401503,Barcelona,2002,8313000,333000,7980000,797000,433000,1952000,4798000
24,2403400,Equador,2002,11259000,472000,10787000,828000,692000,2225000,7043000
25,2500577,Algodão de Jandaíra,2002,5142000,134000,5008000,799000,129000,879000,3201000
26,2504033,Capim,2002,11039000,186000,10853000,3215000,331000,2037000,5270000
27,2505402,Desterro,2002,14638000,443000,14195000,1026000,486000,4199000,8484000
28,2512036,Poço Dantas,2002,6603000,192000,6411000,442000,154000,1304000,4512000
29,2603405,Calumbi,2002,11308000,315000,10994000,1068000,365000,2084000,7477000
30,2603801,Capoeiras,2002,33748000,979000,32769000,8753000,627000,5806000,17582000
31,2603900,Carnaíba,2002,38583000,891000,37692000,13039000,1471000,7297000,15885000
32,2604007,Carpina,2002,213788000,26154000,187634000,10913000,36936000,83555000,56230000
33,2607604,Ilha de Itamaracá,2002,52066000,2143000,49923000,987000,12199000,20074000,16663000
34,2612703,Santa Maria do Cambucá,2002,18169000,552000,17617000,1202000,679000,4041000,11695000
35,2613701,São Lourenço da Mata,2002,226813000,17617000,209196000,8374000,60597000,64924000,75301000
36,2801603,Cedro de São João,2002,13375000,541000,12834000,1523000,518000,3645000,7148000
37,2801900,Cumbe,2002,8764000,261000,8503000,1838000,304000,1437000,4923000
38,2805505,Poço Verde,2002,50156000,2348000,47808000,12233000,1888000,9775000,23912000
39,2908200,Conceição da Feira,2002,53181000,7299000,45882000,16358000,4583000,13050000,11892000
40,2916500,Itapicuru,2002,82925000,1782000,81143000,44204000,4362000,11663000,20914000
41,2919702,Macarani,2002,25962000,1246000,24716000,6173000,1251000,6590000,10702000
