id_municipio,ano,populacao_total,id_municipio_nome,pib,impostos_liquidos,valor_adicionado_precos_correntes_total,valor_adicionado_correntes_agropecuaria,valor_adicionado_correntes_industria,valor_adicionado_correntes_servicos,valor_adicionado_correntes_adm_defesa_edu_saude_seguranca_social,NM_UF,NM_UF_SIGLA,CD_MUN,AR_MUN_2024,nome_municipio,total_alfabetizados,quantidade_matricula,nome,centroide,nome_mesorregiao,longitude,latitude,pib_per_capita,va_per_capita,taxa_alfabetizacao,taxa_matricula,densidade_populacional,participacao_impostos,taxa_va_agroupecuaria,taxa_va_industria,taxa_va_servicos,taxa_va_addess,cluster_original,cluster_hierarquico
1100015,2016,23614,Alta Floresta D'Oeste,478217000,23202000,455014000,166143000,31598000,114541000,142733000,Rondônia,RO,1100015.0,7067.127,Alta Floresta D'Oeste (RO),15448,6220,Alta Floresta D'Oeste,POINT(-62.274486209859 -12.4697063776483),Leste Rondoniense,-62.274486209859,-12.4697063776483,20251.41864995342,19268.82357923266,0.6541881934445668,0.2634030659778097,3.341386110650056,0.0485177231256939,0.3474217771430125,0.0660746062979776,0.2395167884035908,0.298469105029725,1.0,2.0
1100015,2017,23392,Alta Floresta D'Oeste,485374000,25125000,460249000,169623000,27342000,108357000,154926000,Rondônia,RO,1100015.0,7067.127,Alta Floresta D'Oeste (RO),15448,5956,Alta Floresta D'Oeste,POINT(-62.274486209859 -12.4697063776483),Leste Rondoniense,-62.274486209859,-12.4697063776483,20749.57250341997,19675.487346101232,0.6603967168262654,0.2546169630642955,3.309973062603799,0.0517642065706032,0.3494686571592215,0.0563318183503854,0.2232443435371486,0.3191889141157128,1.0,2.0
1100015,2018,23167,Alta Floresta D'Oeste,498980000,28255000,470725000,165892000,26060000,123502000,155271000,Rondônia,RO,1100015.0,7067.127,Alta Floresta D'Oeste (RO),15448,5682,Alta Floresta D'Oeste,POINT(-62.274486209859 -12.4697063776483),Leste Rondoniense,-62.274486209859,-12.4697063776483,21538.39513100531,20318.77239176415,0.6668105494884966,0.2452626580912504,3.278135513908268,0.0566255160527476,0.3324622229347869,0.0522265421459777,0.2475089181931139,0.3111768006733736,1.0,2.0
1100015,2019,22945,Alta Floresta D'Oeste,495775000,29351000,466424000,162668000,14468000,130314000,158973000,Rondônia,RO,1100015.0,7067.127,Alta Floresta D'Oeste (RO),15448,5419,Alta Floresta D'Oeste,POINT(-62.274486209859 -12.4697063776483),Leste Rondoniense,-62.274486209859,-12.4697063776483,21607.103944214425,20327.914578339507,0.6732621486162562,0.2361734582697755,3.2467224658620117,0.0592022590893046,0.3281085169683828,0.0291825929100902,0.2628490746810549,0.3206555393071453,1.0,2.0
1100015,2020,22728,Alta Floresta D'Oeste,570242000,35109000,535133000,203394000,20715000,150233000,160791000,Rondônia,RO,1100015.0,7067.127,Alta Floresta D'Oeste (RO),15448,5489,Alta Floresta D'Oeste,POINT(-62.274486209859 -12.4697063776483),Leste Rondoniense,-62.274486209859,-12.4697063776483,25089.845124956,23545.09855684618,0.6796902499120028,0.2415082717353044,3.216016918897877,0.0615685971920693,0.3566801463238414,0.036326682355912,0.2634548139211072,0.28196976020707,1.0,2.0
1100023,2016,102744,Ariquemes,2184346000,216460000,1967886000,145069000,354287000,879555000,588975000,Rondônia,RO,1100023.0,4426.143,Ariquemes (RO),71249,27860,Ariquemes,POINT(-62.9572500386403 -9.95200191172898),Leste Rondoniense,-62.9572500386403,-9.95200191172898,21260.083313867475,19153.29362298528,0.6934614186716499,0.2711593864361909,23.2129870182685,0.0990960223334581,0.0664130133229808,0.162193626833844,0.4026628565254772,0.2696344809842397,3.0,1.0
1100023,2017,104441,Ariquemes,2287910000,231353000,2056557000,165217000,326362000,930388000,634591000,Rondônia,RO,1100023.0,4426.143,Ariquemes (RO),71249,27617,Ariquemes,POINT(-62.9572500386403 -9.95200191172898),Leste Rondoniense,-62.9572500386403,-9.95200191172898,21906.2437165481,19691.0887486715,0.6821937744755412,0.2644268055648643,23.596390807978864,0.1011197992928043,0.0722130678217237,0.1426463453544938,0.4066541078976008,0.2773671167135071,3.0,1.0
1100023,2018,106168,Ariquemes,2464704000,251954000,2212750000,163121000,341001000,1034088000,674541000,Rondônia,RO,1100023.0,4426.143,Ariquemes (RO),71249,27462,Ariquemes,POINT(-62.9572500386403 -9.95200191172898),Leste Rondoniense,-62.9572500386403,-9.95200191172898,23215.13073619169,20841.96744781855,0.6710967523170823,0.2586655112651646,23.9865725079375,0.1022248513411752,0.0661827951754044,0.1383537333489133,0.4195586975149957,0.2736803283477448,3.0,1.0
1100023,2019,107863,Ariquemes,2579278000,284380000,2294898000,170831000,284066000,1136245000,703757000,Rondônia,RO,1100023.0,4426.143,Ariquemes (RO),71249,26776,Ariquemes,POINT(-62.9572500386403 -9.95200191172898),Leste Rondoniense,-62.9572500386403,-9.95200191172898,23912.537199966624,21276.04461214689,0.6605508839917302,0.2482408240082326,24.36952443696464,0.1102556606926434,0.0662321006111012,0.1101339211981027,0.440528318389875,0.2728503868136742,3.0,1.0
1100023,2020,109523,Ariquemes,2817331000,295645000,2521686000,199723000,404715000,1206982000,710266000,Rondônia,RO,1100023.0,4426.143,Ariquemes (RO),71249,26128,Ariquemes,POINT(-62.9572500386403 -9.95200191172898),Leste Rondoniense,-62.9572500386403,-9.95200191172898,25723.647087826303,23024.259744528543,0.6505391561589803,0.2385617632825981,24.74456880403548,0.1049379714346663,0.0708908537903427,0.1436519173643423,0.4284132748335215,0.2521059825771271,3.0,1.0
